Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
USA,2002,October,Tuesday,Evening,Rural,Street,Windy,220.41465054165,1,37,18-25,Male,0.0519211977366355,0,Poor,1,2,Moderate,8,2,58.6257202798976,7412.7527601721,Wet,Weather,4,40499.856981663,22072.8785015057,Europe,3866.27301408199
UK,2014,December,Saturday,Evening,Urban,Street,Windy,168.31135811141,3,96,18-25,Female,0.234893466902548,1,Poor,1,1,Minor,6,1,58.0413798993278,4458.62881960818,Snow-covered,Mechanical Failure,3,6486.60007271096,9534.39944065122,North America,2333.91622401194
USA,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.286505984375,4,62,41-60,Male,0.142365602839279,0,Moderate,0,0,Moderate,13,4,42.3744524068085,9856.91506433183,Wet,Speeding,4,29164.4129819465,58009.1451244767,South America,4408.88912857895
UK,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.384535519872,2,78,18-25,Male,0.120814771675671,1,Good,2,0,Minor,6,3,48.5540142851477,4958.64626721225,Icy,Distracted Driving,3,25797.2125656217,20907.151302441,Australia,2810.82242292037
Canada,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.344849810368,1,98,41-60,Male,0.155841590501522,1,Poor,0,1,Moderate,13,4,18.3182497304699,3843.19146253768,Icy,Distracted Driving,8,15605.2939206434,13584.0607588108,South America,3883.64563447374
India,2010,May,Monday,Evening,Urban,Street,Snowy,479.216833605299,2,30,18-25,Male,0.0840023187146544,1,Moderate,2,2,Severe,10,4,8.20599409545793,360.951795193078,Dry,Speeding,7,40980.7181640213,45995.6052522006,South America,3626.07402673945
China,2010,March,Monday,Afternoon,Rural,Street,Foggy,386.176217308302,3,92,41-60,Male,0.0752929262927643,0,Poor,2,1,Moderate,10,3,17.8516627651456,7607.80470548657,Wet,Weather,9,47248.0202380471,52342.4318059662,Asia,3408.18234058372
USA,2016,July,Friday,Afternoon,Rural,Main Road,Foggy,75.6086877346578,3,61,26-40,Male,0.0516108625275245,0,Good,1,1,Minor,6,2,46.7403666824491,6061.40700169792,Dry,Speeding,8,4262.75562065268,70652.2235174394,South America,408.296452792595
Japan,2014,August,Thursday,Afternoon,Rural,Highway,Rainy,387.828675482082,3,106,26-40,Male,0.159767533771711,1,Poor,1,2,Minor,4,2,26.5436096174073,3793.85054196065,Snow-covered,Mechanical Failure,5,37624.7759813005,13724.6309498977,Europe,2058.89827924211
USA,2007,April,Monday,Evening,Urban,Highway,Foggy,443.965408234545,3,74,18-25,Male,0.0976205287327644,1,Moderate,1,0,Minor,2,3,44.6933554588925,1140.42930778506,Snow-covered,Distracted Driving,0,15801.1900758121,61948.8627511732,Australia,1840.20614312097
Canada,2017,July,Wednesday,Night,Rural,Highway,Foggy,380.969472627852,1,30,<18,Male,0.0296708336501106,1,Moderate,1,0,Severe,1,1,16.8991734908261,578.030575526768,Snow-covered,Distracted Driving,2,14028.7986283958,62926.2625976749,Europe,4706.64644929304
USA,2014,September,Wednesday,Evening,Rural,Main Road,Snowy,132.276562406415,2,68,18-25,Male,0.227516707210279,1,Good,2,1,Moderate,12,2,44.8384549380045,7656.41273097485,Dry,Weather,7,14081.4928640011,66882.1300923758,Europe,3889.4074324191
UK,2005,January,Tuesday,Afternoon,Urban,Street,Snowy,292.786199613126,4,31,18-25,Male,0.10725531396009,1,Good,2,1,Minor,13,0,22.6090717301127,5974.68015054,Snow-covered,Drunk Driving,8,33690.17455189,39727.2770026897,Europe,3765.60494406785
Canada,2008,September,Thursday,Evening,Rural,Main Road,Snowy,166.524059095518,3,112,18-25,Male,0.10841025959505,1,Good,2,2,Minor,0,2,54.3576133225639,143.55852675356,Icy,Drunk Driving,4,37527.8137388677,56080.8851323449,Asia,3269.77758462859
Japan,2013,May,Thursday,Afternoon,Rural,Main Road,Foggy,417.339588231679,3,64,41-60,Male,0.0916752464714165,0,Poor,1,2,Severe,14,0,12.7504107635045,6592.82768609434,Icy,Drunk Driving,9,14545.7964736373,35265.9907247938,Europe,3454.57314928018
UK,2001,August,Thursday,Morning,Rural,Main Road,Snowy,435.422429806567,3,39,<18,Male,0.0763787025697046,1,Moderate,1,2,Moderate,0,3,39.5676106146036,6379.0546693144,Icy,Mechanical Failure,8,33720.8914994823,1065.83437115106,North America,4080.43518361346
USA,2010,October,Monday,Morning,Urban,Main Road,Rainy,264.627685661734,4,36,41-60,Male,0.0066097106787544,0,Good,0,2,Minor,18,1,20.3410969223138,6887.74917018565,Dry,Distracted Driving,9,47749.0107105908,66730.5191734606,South America,2499.35690041156
UK,2017,August,Saturday,Evening,Urban,Street,Rainy,103.057854194841,4,92,<18,Female,0.224764976425335,0,Moderate,1,2,Minor,4,3,37.531048659584,4854.72080761277,Snow-covered,Weather,8,5739.55371836723,4088.72764302422,Europe,4146.97561048533
